UniprotEntry	task	split	label	source_sheet	Gene name	Organism	Organism ID	length	Hydropathy	FCR	IDR	LCR	PScore	PLAAC	catGRANULE	DeepCoil
F4ID16	SaPS	train	1	SaPS	NUP98B	Arabidopsis thaliana	3702	997	0.440822467402206	0.118355065195586	0.0	0.256770310932798	7.0	0.217	1.98868	0
F4IS91	SaPS	train	1	SaPS	RSA1	Arabidopsis thaliana	3702	1340	0.374842454394694	0.361940298507462	0.378358208955223	0.232089552238805	4.55	0.167	1.73829	0
O04425	SaPS	train	1	SaPS	FCA	Arabidopsis thaliana	3702	747	0.410412018444147	0.165997322623828	0.0776439089692101	0.180722891566265	5.05	0.438	1.23057	0
C3XWA2	SaPS	train	1	SaPS	BRAFLDRAFT_117134	Branchiostoma floridae	7739	1834	0.447946201381314	0.198473282442748	0.0	0.22628135223555	5.05	0.059	1.59596	0
D0PV95	SaPS	train	1	SaPS	laf-1	Caenorhabditis elegans	6239	708	0.407815442561205	0.245762711864406	0.25	0.274011299435028	12.89	0.446	3.5637	0
G5EEH9	SaPS	train	1	SaPS	npp-10	Caenorhabditis elegans	6239	1678	0.448291617004372	0.19129916567342	0.0	0.117401668653158	5.81	0.388	1.76844	0
P91349	SaPS	train	1	SaPS	spd-5	Caenorhabditis elegans	6239	1198	0.420478575403447	0.303839732888146	0.018363939899833	0.013355592654424	2.33	-0.109	0.88896	1
Q965H3	SaPS	train	1	SaPS	sop-2	Caenorhabditis elegans	6239	735	0.408405139833708	0.288435374149659	0.351020408163265	0.210884353741496	2.01	-0.101	0.28476	0
Q9TXM1	SaPS	train	1	SaPS	meg-3	Caenorhabditis elegans	6239	862	0.40600670275844	0.238979118329466	0.0429234338747099	0.104408352668213	2.46	0.176	1.13136	0
Q9TZQ3	SaPS	train	1	SaPS	pgl-1	Caenorhabditis elegans	6239	730	0.460913242009134	0.250684931506849	0.0561643835616438	0.0808219178082191	9.44	0.127	1.60935	0
Q9U2F5	SaPS	train	1	SaPS	tiar-2	Caenorhabditis elegans	6239	434	0.402201740911416	0.237327188940092	0.126728110599078	0.214285714285714	9.57	0.561	2.79828	0
Q5A8T7	SaPS	train	1	SaPS	ALS5	Candida albicans	237561	1347	0.46354862657758	0.143281365998515	0.0	0.361544172234595	2.48	-0.035	0.306568	0
A0A0C9PCY9	SaPS	train	1	SaPS	BROSI_A1236	Candidatus Brocadia sinica JPN1	1197129	1552	0.493606815578463	0.139819587628865	0.0231958762886597	0.119201030927835	2.01	-0.046	1.76189	0
Q6NV05	SaPS	train	1	SaPS	rbm14b	Danio rerio	7955	556	0.484872102318148	0.152877697841726	0.0521582733812949	0.287769784172661	0.55	0.151	0.0206317	0
Q54EQ8	SaPS	train	1	SaPS	nup98	Dictyostelium discoideum	44689	2053	0.43698652378633	0.140282513395031	0.0	0.227471992206527	6.69	0.788	2.27174	0
P54397	SaPS	train	1	SaPS	FK506-bp1	Drosophila melanogaster	7227	357	0.395704948646125	0.358543417366946	0.232492997198879	0.285714285714285	1.03	-0.381	1.56054	0
Q9V7U0	SaPS	train	1	SaPS	resilin	Drosophila melanogaster	7227	620	0.376236559139784	0.141935483870967	0.966129032258064	0.696774193548387	13.03	0.376	6.75725	0
Q9VCH5	SaPS	train	1	SaPS	Nup98-96	Drosophila melanogaster	7227	1960	0.464240362811785	0.180102040816326	0.0	0.112244897959183	4.71	0.151	1.37726	0
P29227	SaPS	train	1	SaPS	HP1A	Drosophila virilis	7244	213	0.384663536776212	0.328638497652582	0.694835680751173	0.0751173708920187	0.72	-0.339	1.07556	0
P12978	SaPS	train	1	SaPS	EBNA2	Epstein-Barr virus	10377	487	0.407415012548482	0.149897330595482	0.537987679671457	0.328542094455852	3.0	0.002	-0.243938	0
