UniprotEntry	task	split	label	source_sheet	Gene name	Organism	Organism ID	length	Hydropathy	FCR	IDR	LCR	PScore	PLAAC	catGRANULE	DeepCoil	Phos freq	DeepPhase
P20226	hSaPS	train	1	hSaPS	TBP	Homo sapiens	9606	339	0.447361520812848	0.138643067846607	0.0914454277286135	0.259587020648967	2.13	0.944	-0.285903	0	0.014749262536873156	0.43065163
P24928	hSaPS	train	1	hSaPS	POLR2A	Homo sapiens	9606	1970	0.440665538635081	0.207614213197969	0.190862944162436	0.215736040609137	7.26	0.212	1.02913	0	0.06040609137055838	0.7704727
Q9GZV5	hSaPS	train	1	hSaPS	WWTR1	Homo sapiens	9606	400	0.419888889	0.1675	0.115	0.105	3.03	0.334	0.00996463	0	0.0725	0.988036
P49790	hSaPS	train	1	hSaPS	NUP153	Homo sapiens	9606	1475	0.44787947269302397	0.170847457627118	0.0738983050847457	0.164067796610169	5.51	0.231	1.50904	0	0.06779661016949153	0.993979
O00444	hSaPS	train	1	hSaPS	PLK4	Homo sapiens	9606	970	0.435887743413515	0.222680412371134	0.0	0.0164948453608247	1.61	-0.068	0.896523	0	0.03505154639175258	0.33908382
O14979	hSaPS	train	1	hSaPS	HNRNPDL	Homo sapiens	9606	420	0.394232804232803	0.247619047619047	0.157142857142857	0.307142857142857	16.83	0.509	2.08625	0	0.05952380952380952	0.26246184
O43663	hSaPS	train	1	hSaPS	PRC1	Homo sapiens	9606	620	0.420591397849462	0.311290322580645	0.0516129032258064	0.0596774193548387	1.9	-0.131	0.168958	0	0.06290322580645161	
O43823	hSaPS	train	1	hSaPS	AKAP8	Homo sapiens	9606	692	0.388599871547848	0.304913294797687	0.135838150289017	0.164739884393063	4.38	0.092	1.73687	0	0.04046242774566474	0.79063547
O60563	hSaPS	train	1	hSaPS	CCNT1	Homo sapiens	9606	726	0.422038567493112	0.213498622589531	0.0578512396694214	0.114325068870523	2.93	-0.038	0.383491	0	0.030303030303030304	0.3683777
O60885	hSaPS	train	1	hSaPS	BRD4	Homo sapiens	9606	1362	0.379882525697504	0.238619676945668	0.666666666666666	0.441262848751835	2.73	0.419	0.211904	0	0.0381791483113069	0.5433214
