Swiss-Prot_ID	DeepPhase_score
A0A024RBG1	0.5487024
A0A087WUL8	0.665336
A0A087WVF3	0.9678104
A0A087WXS9	0.9678104
A0A087X179	0.9678104
A0A087X1G2	0.9678104
A0A096LP01	0.13956493
A0A0B4J2D5	0.4805526
A0A0U1RQE8	0.8099746
A0A140G945	0.36155662
A0A1B0GTU1	0.5712367
A0A1B0GUS4	0.28074387
A0AUZ9	0.84067416
A0AV02	0.42937532
A0AV96	0.5817627
A0AVF1	0.4857694
A0AVI4	0.7005029
A0AVK6	0.42011848
A0AVT1	0.16628644
A0FGR8	0.46503696
A0JLT2	0.99732274
A0JNW5	0.5979292
A0MZ66	0.553397
A0PJE2	0.55554146
A0PJW6	0.543306
A0PJW8	0.7216691
A0PJX4	0.99829906
A0PJX8	0.2479223
A0PJY2	0.26799768
A0PJZ3	0.3167389
A0PK00	0.5353332
A1A4F0	0.99565166
A1A4G5	0.68842524
A1A4S6	0.53354
A1A4V9	0.5773506
A1A5B4	0.45424935
A1A5C7	0.72512555
A1A5D9	0.2918148
A1E959	0.441902
A1IGU5	0.45961198
A1KZ92	0.33433855
A1L020	0.41238886
A1L0T0	0.68050855
A1L157	0.49286246
A1L162	0.99580944
A1L167	0.38625
A1L170	0.6450266
A1L188	0.34884462
A1L190	0.90858006
A1L1A6	0.23989731
A1L390	0.55195045
A1L4H1	0.47313496
A1X283	0.69178665
A1XBS5	0.5726116
A1Z1Q3	0.91095346
A2A288	0.721629
A2A2V5	0.9596228
A2A2Y4	0.73949814
A2A2Z9	0.994622
A2A3K4	0.39787853
A2A3L6	0.33467394
A2AJT9	0.44961306
A2PYH4	0.99894243
A2RRD8	0.93655294
A2RRH5	0.6307901
A2RRP1	0.76810026
A2RTX5	0.38620034
A2RU14	0.28183064
A2RU49	0.9184654
A2RU67	0.41594157
A2RUB1	0.6450334
A2RUB6	0.42408165
A2RUC4	0.93718886
A2RUR9	0.4271033
A2RUS2	0.44639668
A2VDJ0	0.8490881
A3KMH1	0.7332754
A3KN83	0.7349827
A4D0S4	0.24185681
A4D0V7	0.51751554
A4D126	0.85295796
A4D161	0.2665125
A4D1B5	0.74495095
A4D1U4	0.76894224
A4FU01	0.61574566
A4FU49	0.40569794
A4IF30	0.9937495
A4QPB2	0.4438956
A4UGR9	0.24035223
A5D8V6	0.6120691
A5D8V7	0.32585612
A5PKW4	0.4840413
A5PL33	0.35311684
A5PLL1	0.41807908
A5PLL7	0.25501812
A5PLN7	0.7549664
A5PLN9	0.42611516
A5YKK6	0.33069113
A6NC05	0.520019
A6NC86	0.75981945
A6NC98	0.8739542
A6NCJ1	0.2272827
A6NCL7	0.4546232
A6NCS6	0.43872073
A6ND36	0.89134556
A6NDB9	0.89167684
A6NDE8	0.4358411
A6NDG6	0.9823413
A6NDS4	0.9678104
A6NDU8	0.29788235
A6NDV4	0.9932642
A6NED2	0.3613724
A6NEL2	0.955271
A6NEQ2	0.9986739
A6NER0	0.9678104
A6NER3	0.4358411
A6NES4	0.23486917
A6NFN3	0.39047307
A6NFQ2	0.41107216
A6NFT4	0.9979686
A6NFU0	0.6607374
A6NFY4	0.36595923
A6NFY7	0.41778132
A6NGB9	0.27663195
A6NGC4	0.96640533
A6NGD5	0.88272935
A6NGK3	0.4358411
A6NGN9	0.36656114
A6NGR9	0.4725887
A6NGS2	0.32198185
A6NH11	0.9478997
A6NH52	0.5970355
A6NHC0	0.5517592
A6NHJ4	0.9916276
A6NHN6	0.43900833
A6NHQ2	0.99988556
A6NHQ4	0.5940128
A6NHR9	0.824419
A6NHT5	0.3473491
A6NI28	0.9917917
A6NI79	0.35229412
A6NIK2	0.96866894
A6NJ64	0.43900833
A6NJ69	0.93671054
A6NJ78	0.66599196
A6NJB7	0.8926799
A6NJL1	0.88272935
A6NJT0	0.49971336
A6NJU9	0.43900833
A6NJV1	0.90661025
A6NJZ7	0.5400858
A6NK44	0.41460097
A6NK53	0.7205011
A6NK58	0.8391117
A6NK89	0.9841876
A6NKB5	0.5399524
A6NKD9	0.37683737
A6NKF1	0.34688136
A6NKG5	0.46723914
A6NKL6	0.3551301
A6NKN8	0.25536475
A6NKQ9	0.2891708
A6NKT7	0.60582197
A6NLC5	0.52298164
A6NLP5	0.802512
A6NLU0	0.5276553
A6NM11	0.9313535
A6NML5	0.59613264
A6NMS7	0.9313535
A6NN90	0.9909808
A6NNA2	0.98606664
A6NNA5	0.6522726
A6NNL5	0.9993957
A6NNM3	0.5400858
A6NNX1	0.26785842
A6NNY8	0.55406183
A6PVS8	0.77248544
A6QL63	0.31393328
A6QL64	0.56174916
A6XGL0	0.829598
A7E2F4	0.51014525
A7E2U8	0.9912838
A7E2V4	0.30778614
A7KAX9	0.999961
A7MBM2	0.86013705
A7MCY6	0.53154325
A7XYQ1	0.41365588
A8CG34	0.45204225
A8K0R7	0.62382805
A8K0Z3	0.9195412
A8K855	0.99856865
A8K8V0	0.30320892
A8K979	0.689372
A8MPS7	0.5703606
A8MPX8	0.398266
A8MQ03	0.99797696
A8MQ14	0.36506042
A8MQ27	0.60586244
A8MQT2	0.51014525
A8MRT5	0.43900833
A8MT33	0.44938645
A8MTB9	0.3962963
A8MTT3	0.28088108
A8MU93	0.16768543
A8MUV8	0.23498444
A8MV24	0.19814777
A8MV65	0.9750334
A8MVS5	0.792946
A8MVX0	0.6058138
A8MW92	0.74048156
A8MWY0	0.43350598
A8MXK1	0.63504964
A8MXV4	0.5345212
A8MYU2	0.2200307
A8MZ36	0.45127147
A8MZ59	0.7292222
A8MZ97	0.8116749
A9UHW6	0.9960544
B1AH88	0.5971869
B1AK53	0.8399287
B1AL88	0.41836026
B1APH4	0.5784187
B2CW77	0.3801737
B2RD01	0.6052863
B2RTY4	0.4979367
B2RXF0	0.5593655
B2RXF5	0.39193642
B4DU55	0.16110381
B4DX44	0.23498444
B5MCN3	0.3923489
B5ME19	0.2822505
B7U540	0.47836262
B7Z6K7	0.45964795
B7ZAP0	0.8990932
B7ZAQ6	0.39235845
B9A6J9	0.9678104
C9J069	0.28769103
C9J202	0.71679
C9J6K1	0.51519746
C9J798	0.96253157
C9J7I0	0.50547934
C9JBD0	0.30149746
C9JCN9	0.24761295
C9JFL3	0.9383935
C9JG80	0.43900833
C9JH25	0.54818004
C9JLR9	0.37172365
C9JLW8	0.22413832
C9JN71	0.72181964
C9JRZ8	0.76713634
D6RGH6	0.9662426
E0CX11	0.2088733
E5RHQ5	0.43900833
E5RJM6	0.38424113
E5RQL4	0.8597159
E7ETH6	0.45964795
E7EU14	0.25146806
E7EW31	0.52342516
E9PAV3	0.27897334
E9PIF3	0.43900833
E9PJ23	0.43900833
E9PJI5	0.43900833
E9PKD4	0.43900833
E9PQ53	0.58598083
E9PQR5	0.43900833
F5GYI3	0.99947315
F5H4B4	0.6012401
F8VTS6	0.5276553
F8W1W9	0.43900833
F8WFD2	0.43900833
H0Y354	0.9904971
H0YL14	0.4314824
H3BMG3	0.9068535
H3BPM6	0.58297807
H3BQB6	0.29910088
